SIGMOID_MUL_MQ_ROTATE_X_AWQ_I4_GFX12_SRC       sig      K=6144  N=8192 seed=12 xrot=1 special | untouched blocks: 0 | i4 differing bytes 0 / 28311552; x_rot differing bytes 0 / 201326592  ORACLE_PASS
SIGMOID_MUL_MQ_ROTATE_X_AWQ_I4_GFX12_SRC       sig      K=6144  N=1000 seed=13 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 3456000  ORACLE_PASS
SIGMOID_MUL_MQ_ROTATE_X_AWQ_I4_GFX12_SRC       sig      K=6144  N=1    seed=14 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 3456  ORACLE_PASS
SIGMOID_MUL_MQ_ROTATE_X_AWQ_I4_GFX12_SRC       sig      K=5120  N=333  seed=15 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 959040  ORACLE_PASS
SIGMOID_MUL_MQ_ROTATE_X_AWQ_I4_GFX12_SRC       sig      K=3328  N=77   seed=16 xrot=1 special | untouched blocks: 0 | i4 differing bytes 0 / 144144; x_rot differing bytes 0 / 1025024  ORACLE_PASS
FUSED_SILU_MUL_MQ_ROTATE_AWQ_I4_HIN_GFX12_SRC  hin      K=17408 N=8192 seed=12 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 80216064  ORACLE_PASS
FUSED_SILU_MUL_MQ_ROTATE_AWQ_I4_HIN_GFX12_SRC  hin      K=17408 N=1000 seed=13 xrot=1 normal  | untouched blocks: 0 | i4 differing bytes 0 / 9792000; x_rot differing bytes 0 / 69632000  ORACLE_PASS
FUSED_SILU_MUL_MQ_ROTATE_AWQ_I4_HIN_GFX12_SRC  hin      K=17408 N=1    seed=14 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 9792  ORACLE_PASS
FUSED_SILU_MUL_MQ_ROTATE_AWQ_I4_HIN_GFX12_SRC  hin      K=17408 N=333  seed=15 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 3260736  ORACLE_PASS
FUSED_SILU_MUL_MQ_ROTATE_AWQ_I4_HIN_GFX12_SRC  hin      K=4096  N=777  seed=16 xrot=1 normal  | untouched blocks: 0 | i4 differing bytes 0 / 1790208; x_rot differing bytes 0 / 12730368  ORACLE_PASS
FUSED_SILU_MUL_MQ_ROTATE_AWQ_I4_HIN_GFX12_SRC  hin      K=13824 N=65   seed=17 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 505440  ORACLE_PASS
FUSED_SILU_MUL_MQ_ROTATE_AWQ_I4_HIN_GFX12_SRC  hin      K=17408 N=8192 seed=12 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 80216064  ORACLE_PASS
FUSED_SILU_MUL_MQ_ROTATE_AWQ_I4_HIN_GFX12_SRC  hin      K=17408 N=1000 seed=13 xrot=1 special | untouched blocks: 0 | i4 differing bytes 0 / 9792000; x_rot differing bytes 0 / 69632000  ORACLE_PASS
FUSED_SILU_MUL_MQ_ROTATE_AWQ_I4_HIN_GFX12_SRC  hin      K=17408 N=1    seed=14 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 9792  ORACLE_PASS
FUSED_SILU_MUL_MQ_ROTATE_AWQ_I4_HIN_GFX12_SRC  hin      K=17408 N=333  seed=15 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 3260736  ORACLE_PASS
