[239, 23, 87, 220, 55, 37, 57, 80]	[0.2108085, 0.19174853, 0.1190012, 0.11593012, 0.09740294, 0.093685046, 0.0907367, 0.080687]
[40, 235, 91, 172, 193, 3, 225, 144]	[0.18618235, 0.16736887, 0.1579911, 0.107835494, 0.107733555, 0.098689035, 0.09082749, 0.08337208]
[221, 142, 100, 169, 103, 107, 0, 158]	[0.3102787, 0.23213509, 0.14958613, 0.08239774, 0.06301213, 0.061767988, 0.052291792, 0.048530433]
[139, 229, 106, 173, 77, 240, 195, 201]	[0.2179888, 0.1368916, 0.12561709, 0.118449815, 0.10975325, 0.09743624, 0.097040646, 0.096822575]
[135, 88, 123, 191, 120, 118, 33, 200]	[0.16210072, 0.13880725, 0.13697894, 0.11857617, 0.11672362, 0.11243946, 0.10729937, 0.10707447]
[103, 167, 249, 20, 101, 42, 247, 82]	[0.1866071, 0.17556599, 0.13982908, 0.13322434, 0.11349946, 0.09254845, 0.080714695, 0.0780108]
[56, 87, 61, 214, 104, 65, 197, 68]	[0.24476165, 0.23693968, 0.10616396, 0.10430811, 0.08070913, 0.077630244, 0.07606255, 0.07342457]
[145, 50, 226, 149, 239, 242, 66, 144]	[0.17290884, 0.16346882, 0.13003483, 0.122064255, 0.11877474, 0.11058725, 0.10010853, 0.08205278]
[189, 119, 188, 64, 131, 218, 155, 6]	[0.1984432, 0.18939583, 0.15037325, 0.12528768, 0.10310563, 0.0807667, 0.077715665, 0.074912004]
[65, 41, 105, 255, 70, 106, 92, 111]	[0.1763233, 0.16415167, 0.13947088, 0.13783635, 0.107827835, 0.095737584, 0.094601706, 0.08405069]
[215, 198, 37, 99, 29, 71, 57, 167]	[0.36524543, 0.19984025, 0.08675798, 0.07779495, 0.07196359, 0.07149828, 0.064005286, 0.062894255]
[253, 121, 99, 131, 46, 217, 195, 48]	[0.23373811, 0.12986116, 0.11855948, 0.11237465, 0.109119564, 0.101667695, 0.09778392, 0.096895404]
[23, 215, 87, 220, 80, 114, 153, 57]	[0.16583037, 0.14486836, 0.13019753, 0.12890325, 0.11834187, 0.11826661, 0.09679926, 0.09679276]
[205, 143, 25, 5, 187, 132, 11, 51]	[0.199374, 0.17036052, 0.14716263, 0.11817784, 0.11102539, 0.09152879, 0.08444236, 0.077928506]
[228, 144, 90, 15, 235, 173, 167, 64]	[0.19873804, 0.18278058, 0.14769243, 0.117118284, 0.09904068, 0.09184301, 0.085924126, 0.07686288]
[42, 112, 158, 133, 224, 222, 185, 110]	[0.41937736, 0.16874361, 0.09093593, 0.068119265, 0.06643263, 0.06348735, 0.061533496, 0.061370395]
[29, 252, 119, 46, 139, 35, 72, 54]	[0.23785539, 0.19240983, 0.15549493, 0.11345573, 0.082515515, 0.08002586, 0.07276441, 0.065478325]
[205, 141, 254, 102, 66, 81, 1, 182]	[0.24332808, 0.21332817, 0.11795469, 0.111526966, 0.0912746, 0.08345109, 0.07884506, 0.06029128]
[88, 125, 34, 109, 116, 233, 138, 3]	[0.35536373, 0.13831095, 0.13009687, 0.10267791, 0.07402149, 0.07088972, 0.0657456, 0.06289367]
[46, 134, 176, 117, 216, 209, 8, 168]	[0.1593365, 0.15424848, 0.15137173, 0.1431948, 0.13588499, 0.10814473, 0.07479951, 0.07301928]
[95, 39, 50, 19, 159, 157, 227, 35]	[0.24769683, 0.12484597, 0.11655988, 0.10745528, 0.10398821, 0.1020595, 0.10184608, 0.095548294]
[126, 214, 200, 67, 116, 167, 30, 140]	[0.2280595, 0.20293227, 0.1936738, 0.16797902, 0.06195233, 0.052802075, 0.0464396, 0.046161484]
[158, 94, 214, 188, 88, 138, 112, 209]	[0.73666644, 0.090995245, 0.05088684, 0.028514251, 0.025467865, 0.02336891, 0.022217344, 0.021883111]
[42, 6, 153, 79, 1, 151, 90, 61]	[0.37691566, 0.20413117, 0.09439561, 0.08434894, 0.06883004, 0.0672868, 0.052525382, 0.051566366]
[39, 163, 11, 198, 201, 29, 68, 206]	[0.3558308, 0.16728845, 0.11520756, 0.08708071, 0.07579686, 0.06837675, 0.06783979, 0.06257913]
